Date,Close-Last,Volume,Open,High,Low,,,
02-19-2019,87.82 ,702445,87.47 ,88.19 ,87.43 ,,,
02-15-2019,87.76 ,878822,87.57 ,87.78 ,86.95 ,,,
02-14-2019,87.16 ,1292842,87.23 ,88.94 ,86.53 ,,,
02-13-2019,87.99 ,562604,87.83 ,88.32 ,87.68 ,,,
02-12-2019,87.57 ,498870,86.99 ,87.81 ,86.92 ,,,
02-11-2019,86.70 ,556890,87.28 ,87.39 ,86.39 ,,,
02-08-2019,87.06 ,523608,86.56 ,87.09 ,85.82 ,,,
02-07-2019,86.82 ,610276,86.53 ,86.91 ,85.77 ,,,
02-06-2019,86.93 ,478913,86.88 ,87.12 ,86.46 ,,,
02-05-2019,86.81 ,684668,87.06 ,87.06 ,86.11 ,,,
02-04-2019,86.96 ,818540,87.41 ,87.44 ,85.89 ,,,
02-01-2019,87.38 ,715382,88.04 ,88.69 ,86.85 ,,,
01-31-2019,88.04 ,790790,86.38 ,88.16 ,86.10 ,,,
01-30-2019,86.69 ,1365143,85.03 ,87.98 ,83.91 ,,,
01-29-2019,85.81 ,1294776,86.15 ,86.37 ,85.42 ,,,
01-28-2019,86.07 ,591573,85.11 ,86.08 ,84.71 ,,,
01-25-2019,85.69 ,759631,85.70 ,86.11 ,85.19 ,,,
01-24-2019,84.99 ,1004086,84.48 ,85.08 ,84.23 ,,,
01-23-2019,84.73 ,731685,83.54 ,84.83 ,83.39 ,,,
01-22-2019,83.40 ,987390,83.01 ,83.84 ,82.38 ,,,
01-18-2019,83.14 ,684820,82.90 ,83.81 ,82.44 ,,,
01-17-2019,82.44 ,628826,82.95 ,83.30 ,82.14 ,,,
01-16-2019,82.96 ,939475,81.40 ,83.17 ,81.01 ,,,
01-15-2019,81.04 ,460904,80.36 ,81.27 ,80.36 ,,,
01-14-2019,80.53 ,717178,80.05 ,80.89 ,80.05 ,,,
01-11-2019,80.70 ,731013,80.00 ,80.80 ,79.59 ,,,
01-10-2019,80.55 ,723283,79.83 ,80.68 ,79.16 ,,,
